"Text","Sentiment","SentimentConfidence","Date","User","Location","User_timezone"
"@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?","neutral",1,"2015-02-24 08:27:52 -0","rjlynch21086","Boston, MA ","Eastern Time (US & Canada)"
"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet","negative",1,"2015-02-24 08:18:51 -0","ayeevickiee","714","Mountain Time (US & Canada)"
"@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.","negative",1,"2015-02-24 07:49:15 -0","Leora13","",""
"@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail","negative",1,"2015-02-24 07:11:37 -0","meredithjlynn","",""
"@VirginAmerica do you miss me? Don't worry we'll be together very soon.","neutral",0.6854,"2015-02-24 05:44:59 -0","AdamSinger","San Francisco, CA","Central Time (US & Canada)"
"@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS","negative",1,"2015-02-24 05:05:28 -0","blackjackpro911","San Mateo, CA & Las Vegas, NV",""
"@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix","neutral",0.615,"2015-02-23 23:34:30 -0","TenantsUpstairs","Brooklyn","Atlantic Time (Canada)"
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢","negative",1,"2015-02-23 22:52:29 -0","jordanpichler","","Vienna"
"@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?","neutral",1,"2015-02-23 21:35:43 -0","JCervantezzz","California, San Francisco","Pacific Time (US & Canada)"
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","negative",1,"2015-02-23 21:10:41 -0","Cuschoolie1","Washington DC","Quito"
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(","negative",1,"2015-02-23 20:55:30 -0","amanduhmccarty","","Pacific Time (US & Canada)"
"@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews","positive",1,"2015-02-23 20:24:33 -0","NorthTxHomeTeam","Texas","Central Time (US & Canada)"
"Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP","neutral",0.6207,"2015-02-23 18:46:00 -0","miaerolinea","Worldwide","Caracas"
"@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday","positive",1,"2015-02-23 18:43:35 -0","Nicsplace","Central Texas",""
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!","positive",1,"2015-02-23 18:19:47 -0","Nicsplace","Central Texas",""
"@VirginAmerica when can I book my flight to Hawaii??","neutral",0.6791,"2015-02-23 17:54:09 -0","elisha_malulani","i'm creating a monster ","Pacific Time (US & Canada)"
"@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk","negative",1,"2015-02-23 17:41:58 -0","DannyDouglass","San Francisco, CA","Pacific Time (US & Canada)"
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr","positive",0.6639,"2015-02-23 17:32:54 -0","jamesferrandini","",""
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?","negative",0.6688,"2015-02-23 17:00:40 -0","will_lenzenjr","Iowa City","Central Time (US & Canada)"
"@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️","neutral",1,"2015-02-23 16:24:11 -0","GottAmanda","Los Angeles",""
"@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp","neutral",0.6578,"2015-02-23 16:20:38 -0","KGervaise","Georgia","Pacific Time (US & Canada)"
"@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?","neutral",1,"2015-02-23 16:13:09 -0","papamurat","",""
"@VirginAmerica I'm #elevategold for a good reason: you rock!!","positive",1,"2015-02-23 16:08:07 -0","arieldaie","Los Angeles",""
"@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx","neutral",0.6799,"2015-02-23 16:04:28 -0","vacations7","Turks and caicos",""
"@VirginAmerica wow this just blew my mind","positive",1,"2015-02-23 16:01:25 -0","ChelseaPoe666","Oakland via Midwest ","Atlantic Time (Canada)"
"@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree","neutral",1,"2015-02-23 16:01:17 -0","BobGlavinVO","New York, NY","Eastern Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood All were entertaining","neutral",0.6436,"2015-02-23 15:58:00 -0","lisaaiko","",""
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.","neutral",0.6764,"2015-02-23 15:55:18 -0","grantbrowne","Worldwide","Central Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood","positive",0.657,"2015-02-23 15:46:46 -0","joyabsalon","Northern Virginia","Eastern Time (US & Canada)"
"@VirginAmerica wish you flew out of Atlanta... Soon?","neutral",1,"2015-02-23 15:36:51 -0","2v","Los Angeles / Atlanta","Eastern Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.","neutral",0.7118,"2015-02-23 15:24:09 -0","KSmithFoundHere","","Atlantic Time (Canada)"
"@VirginAmerica Will flights be leaving Dallas for LA on February 24th?","neutral",1,"2015-02-23 15:19:41 -0","papamurat","",""
"@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!","negative",0.6939,"2015-02-23 15:05:09 -0","murphicus","new york, new york","Eastern Time (US & Canada)"
"@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures","positive",1,"2015-02-23 15:04:29 -0","VinnieFerra","brooklyn, Ny","Pacific Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊","positive",0.635,"2015-02-23 14:40:33 -0","KevinDemsi","Bali, Republic of Indonesia","Kuala Lumpur"
"@VirginAmerica @ladygaga @carrieunderwood - Carrie!","neutral",0.7007,"2015-02-23 14:40:19 -0","giffgaffman","UK, USA. ",""
"@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?","neutral",1,"2015-02-23 14:37:42 -0","HanlonBrothers","Gold Coast, Australia","Brisbane"
"@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.","neutral",1,"2015-02-23 14:36:58 -0","emilybg78","Stockton, CA","Arizona"
"@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!","negative",1,"2015-02-23 14:35:50 -0","rachie1126","New York, NY","Eastern Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","neutral",0.6858,"2015-02-23 14:30:13 -0","adawson66","",""
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!","neutral",1,"2015-02-23 14:26:53 -0","SocialPLC","Twin Cities, Minn.","Eastern Time (US & Canada)"
"@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!","positive",1,"2015-02-23 14:25:09 -0","jeffreymace01","",""
"@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.","neutral",0.6814,"2015-02-23 14:09:06 -0","1stcrown","USA","Central Time (US & Canada)"
"@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/","negative",1,"2015-02-23 13:46:30 -0","onerockgypsy","next city","Pacific Time (US & Canada)"
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?","negative",1,"2015-02-23 13:35:23 -0","noelduan","SF ↔ NY","Eastern Time (US & Canada)"
"@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV","positive",0.6922,"2015-02-23 13:30:10 -0","Travelzoo","New York, NY","Pacific Time (US & Canada)"
"@VirginAmerica everything was fine until you lost my bag","negative",1,"2015-02-23 13:08:21 -0","gianagon","New York + Panama","Eastern Time (US & Canada)"
"@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?","neutral",1,"2015-02-23 12:47:52 -0","bxchen","San Francisco, CA","Eastern Time (US & Canada)"
"@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.","neutral",0.6492,"2015-02-23 12:00:17 -0","seimatrun","Los Angeles",""
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?","neutral",1,"2015-02-23 11:56:37 -0","jamied7","London, England","London"
"@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt","negative",1,"2015-02-23 11:46:16 -0","seimatrun","Los Angeles",""
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","positive",1,"2015-02-23 11:32:31 -0","mrmichaellay","Floridian from Cincinnati ","Eastern Time (US & Canada)"
"@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?","positive",1,"2015-02-23 11:28:46 -0","TaylorLumsden","Dallas, Texas","Mountain Time (US & Canada)"
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF","neutral",1,"2015-02-23 11:24:18 -0","campusmoviefest","USA","Eastern Time (US & Canada)"
"@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks","neutral",1,"2015-02-23 11:22:16 -0","TaylorLumsden","Dallas, Texas","Mountain Time (US & Canada)"
"@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.","negative",1,"2015-02-23 11:02:02 -0","meme_meng","",""
"@VirginAmerica what happened to Doom?!","neutral",1,"2015-02-23 10:58:43 -0","kyle_romanoff","",""
"@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness","negative",1,"2015-02-23 10:56:25 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G","positive",1,"2015-02-23 10:56:16 -0","artisticwritr87","Seattle, WA","Pacific Time (US & Canada)"
"@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(","negative",0.6792,"2015-02-23 10:54:47 -0","arieldaie","Los Angeles",""
"@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness","negative",1,"2015-02-23 10:54:36 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin","negative",1,"2015-02-23 10:38:14 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R","negative",1,"2015-02-23 10:29:19 -0","jsatk","Lower Pacific Heights, SF, CA","Pacific Time (US & Canada)"
"@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code","neutral",0.6705,"2015-02-23 10:15:00 -0","serenaklal","Chicago","Eastern Time (US & Canada)"
"@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4","neutral",1,"2015-02-23 10:09:30 -0","openambit1","",""
"@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?","neutral",0.6545,"2015-02-23 10:04:47 -0","cabowine","Los Cabos,Mexico","Arizona"
"@VirginAmerica Why is the site down?  When will it be back up?","negative",1,"2015-02-23 09:57:42 -0","MaryAnnTaylorT","New York, NY","Arizona"
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""","neutral",1,"2015-02-23 09:45:23 -0","RamotControl","","Pacific Time (US & Canada)"
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","neutral",0.6639,"2015-02-23 09:35:03 -0","losermelon","",""
"@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .","negative",1,"2015-02-23 09:29:00 -0","AlisonK33774854","",""
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin","negative",1,"2015-02-23 09:28:26 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica why is flight 345 redirected?","neutral",0.6765,"2015-02-23 09:26:37 -0","yazdanagh","",""
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.","negative",1,"2015-02-23 09:25:41 -0","MerchEngines","Los Angeles, CA","Arizona"
"@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y","negative",1,"2015-02-23 09:18:42 -0","ColorCartel","Austin, TX","Mountain Time (US & Canada)"
"@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable","negative",1,"2015-02-23 09:11:12 -0","MustBeSpoken","",""
"@virginamerica What is your phone number. I can't find who to call about a flight reservation.","negative",1,"2015-02-23 08:29:21 -0","mattbunk","Sterling Heights, MI","Eastern Time (US & Canada)"
"@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.","negative",1,"2015-02-23 08:19:59 -0","louisjenny","Washington DC","Quito"
"@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM","neutral",1,"2015-02-23 08:19:49 -0","STravelsW","Manhattan Beach, CA",""
"@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax","negative",1,"2015-02-23 08:11:03 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica check out new music http://t.co/maRcnOCWzn","neutral",1,"2015-02-23 08:08:08 -0","joeyrenagade","Greater Los Angeles",""
"@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky","negative",0.6925,"2015-02-23 08:08:01 -0","mrmichaellay","Floridian from Cincinnati ","Eastern Time (US & Canada)"
"@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.","negative",1,"2015-02-23 07:51:37 -0","GunsNDip","","Pacific Time (US & Canada)"
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying","positive",1,"2015-02-23 07:50:35 -0","TheDuchessSF","Online","Pacific Time (US & Canada)"
"@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm","negative",1,"2015-02-23 07:40:39 -0","BeLeather","","Pacific Time (US & Canada)"
"@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.","negative",1,"2015-02-23 07:40:05 -0","BeLeather","","Pacific Time (US & Canada)"
"@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?","neutral",0.6593,"2015-02-23 07:28:43 -0","drcaseydrake","Dallas, TX",""
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare","positive",0.6823,"2015-02-23 06:57:25 -0","flyfromWAS","Washington, DC","Eastern Time (US & Canada)"
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare","neutral",1,"2015-02-23 06:57:24 -0","flyfromSEA","Seattle","Central Time (US & Canada)"
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare","positive",0.6806,"2015-02-23 06:57:24 -0","flyfromNYC","New York City, NY","Central Time (US & Canada)"
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare","neutral",0.6529,"2015-02-23 06:57:24 -0","flyfromLAX","Los Angeles, CA","Central Time (US & Canada)"
"@VirginAmerica Have a great week 🌞✈","positive",0.678,"2015-02-23 06:51:01 -0","Silvanabfer","",""
"@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH","positive",0.3482,"2015-02-23 06:07:54 -0","AdamJdubs","Earth","Eastern Time (US & Canada)"
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","negative",1,"2015-02-23 05:15:06 -0","nicholas_v","","Eastern Time (US & Canada)"
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience","positive",1,"2015-02-23 03:01:39 -0","tstashajones","Halifax, Nova Scotia, Canada","Eastern Time (US & Canada)"
"@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!","positive",1,"2015-02-23 00:35:42 -0","SkateMamas","Los Angeles, CA",""
"@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.","positive",1,"2015-02-23 00:21:40 -0","dngoo","Near a park, water, or lights","Pacific Time (US & Canada)"
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining","positive",1,"2015-02-23 00:06:55 -0","SamBrittenham","USA","Eastern Time (US & Canada)"
"@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?","negative",0.6832,"2015-02-22 22:39:18 -0","usagibrian","San Francisco CA","Pacific Time (US & Canada)"
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?","negative",1,"2015-02-22 22:11:07 -0","usagibrian","San Francisco CA","Pacific Time (US & Canada)"
"@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370","negative",1,"2015-02-22 21:56:44 -0","KindofLuke","",""
"@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!","positive",1,"2015-02-22 20:23:27 -0","ptbrodie","San Francisco",""
"@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!","positive",1,"2015-02-22 17:48:33 -0","cheryleng","","Pacific Time (US & Canada)"
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?","neutral",1,"2015-02-22 17:45:25 -0","HishamSharaby","New York","Eastern Time (US & Canada)"
"@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!","negative",0.6703,"2015-02-22 17:14:06 -0","ChrisFordisHere","NYC","Tehran"
"@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue","positive",1,"2015-02-22 16:18:33 -0","JKF1897","",""
"@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?","neutral",1,"2015-02-22 16:05:07 -0","F6x","San Francisco, CA","Pacific Time (US & Canada)"
"@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?","neutral",0.6535,"2015-02-22 15:41:51 -0","lawyang588","",""
"@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.","negative",1,"2015-02-22 15:40:12 -0","melokudo","","Eastern Time (US & Canada)"
"@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry","negative",1,"2015-02-22 15:06:19 -0","ChrysiChrysic","",""
"@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?","neutral",1,"2015-02-22 15:03:35 -0","nikkisixxfan93","Sacramento,California","Pacific Time (US & Canada)"
"@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!","negative",1,"2015-02-22 15:02:11 -0","ChrysiChrysic","",""
"@VirginAmerica Another delayed flight? #likingyoulessandless","negative",1,"2015-02-22 14:49:31 -0","MOCBlogger","San Diego","Alaska"
"@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise","negative",1,"2015-02-22 14:39:09 -0","tfaz","Oakland, California","Pacific Time (US & Canada)"
"@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015","positive",1,"2015-02-22 14:32:14 -0","lisaptv","","Mountain Time (US & Canada)"
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9","neutral",1,"2015-02-22 14:31:43 -0","dropapp","",""
"@VirginAmerica always!!! Xoxo","positive",0.7011,"2015-02-22 14:09:50 -0","HollywoodHotMom","All Over!","Pacific Time (US & Canada)"
"@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated","negative",1,"2015-02-22 14:07:43 -0","GoShar2012","Providence, RI","Eastern Time (US & Canada)"
"@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame","negative",0.6543,"2015-02-22 14:03:34 -0","MOCBlogger","San Diego","Alaska"
"@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!","positive",1,"2015-02-22 13:55:28 -0","SkateMamas","Los Angeles, CA",""
"@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃","neutral",0.355,"2015-02-22 13:49:59 -0","FiDiFamilies","New York City ","Eastern Time (US & Canada)"
"@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas","negative",0.6889,"2015-02-22 13:47:02 -0","jarrydosborne","New York","Eastern Time (US & Canada)"
"@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!","positive",1,"2015-02-22 13:45:41 -0","HollywoodHotMom","All Over!","Pacific Time (US & Canada)"
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(","negative",1,"2015-02-22 13:29:34 -0","mlorenzen","iPhone: 29.741360,-90.131523","Pacific Time (US & Canada)"
"@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.","negative",0.679,"2015-02-22 13:23:03 -0","Tyler_Starrine","Los Angeles","Pacific Time (US & Canada)"
"Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.","positive",1,"2015-02-22 12:49:25 -0","jessicajaymes","hollywood, california","Pacific Time (US & Canada)"
"@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf","positive",1,"2015-02-22 12:35:49 -0","livingfitly","Washington, DC","Eastern Time (US & Canada)"
".@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.","negative",1,"2015-02-22 12:34:26 -0","khartline","Las Vegas","Pacific Time (US & Canada)"
".@VirginAmerica does that mean you don't have a policy for destroyed luggage?","negative",1,"2015-02-22 12:27:38 -0","khartline","Las Vegas","Pacific Time (US & Canada)"
"@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?","neutral",1,"2015-02-22 11:56:57 -0","MACRoxburgh","","Atlantic Time (Canada)"
"@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)","positive",1,"2015-02-22 11:33:40 -0","paulnakada","San Francisco","Pacific Time (US & Canada)"
