"Text","Sentiment","SentimentConfidence","Date","Candidate","User","Location","User_timezone"
"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST","positive",0.7065,"2015-08-07 09:54:23 -0700","No candidate mentioned","DavidWarren25","San Diego","Pacific Time (US & Canada)"
"RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate","negative",1,"2015-08-07 09:54:23 -0700","No candidate mentioned","TracyCarrillo15","",""
"RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD","neutral",0.6559,"2015-08-07 09:54:22 -0700","Rand Paul","Van_der_Leun","Seattle, WA","Pacific Time (US & Canada)"
"RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF","neutral",1,"2015-08-07 09:54:22 -0700","John Kasich","kevinburger72","","Central Time (US & Canada)"
"Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked","neutral",0.6983,"2015-08-07 09:54:22 -0700","No candidate mentioned","Mamadoxie","","Mountain Time (US & Canada)"
"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…","positive",0.3508,"2015-08-07 09:54:22 -0700","Donald Trump","ancient_echoes","Oxnerd, California","Arizona"
"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…","negative",1,"2015-08-07 09:54:21 -0700","Donald Trump","papalputz","Vatican City",""
"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7","negative",1,"2015-08-07 09:54:21 -0700","Donald Trump","randomsubu","Pittsburgh, PA","Eastern Time (US & Canada)"
"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…","negative",0.6667,"2015-08-07 09:54:21 -0700","No candidate mentioned","matters_world","",""
"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""","negative",0.6667,"2015-08-07 09:54:21 -0700","Jeb Bush","ceg1258","TEXAS is the greatest state","Central Time (US & Canada)"
"@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.","positive",0.337,"2015-08-07 09:54:21 -0700","No candidate mentioned","wise_bob","Illinois, SW of Chicago","Central Time (US & Canada)"
"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate","negative",1,"2015-08-07 09:54:20 -0700","Donald Trump","palmaceiahome1","","Quito"
"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…","positive",0.6735,"2015-08-07 09:54:19 -0700","No candidate mentioned","JoshL78","Walland, Tn","Eastern Time (US & Canada)"
"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…","negative",0.6333,"2015-08-07 09:54:19 -0700","Donald Trump","lindamama02","",""
"RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN","negative",0.618,"2015-08-07 09:54:19 -0700","No candidate mentioned","DanielBeerthuis","Holland, Michigan USA ","Eastern Time (US & Canada)"
"RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate","negative",1,"2015-08-07 09:54:17 -0700","No candidate mentioned","agreenwood0216","",""
"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt…","neutral",0.6691,"2015-08-07 09:54:17 -0700","No candidate mentioned","MBryant_73","Searcy","Central Time (US & Canada)"
"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …","negative",0.6239,"2015-08-07 09:54:16 -0700","No candidate mentioned","reemarakhee","","Eastern Time (US & Canada)"
"Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.","negative",0.6211,"2015-08-07 09:54:15 -0700","No candidate mentioned","AtticusBooks","Madison, NJ","Eastern Time (US & Canada)"
"RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY","positive",0.6667,"2015-08-07 09:54:15 -0700","No candidate mentioned","Phadros369","",""
"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…","positive",0.6977,"2015-08-07 09:54:14 -0700","Ted Cruz","DeLoachJW","Arrington, TN","Eastern Time (US & Canada)"
"RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u","neutral",1,"2015-08-07 09:54:13 -0700","Donald Trump","ou2va2le2monde2","","Pacific Time (US & Canada)"
"RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar","neutral",0.6626,"2015-08-07 09:54:13 -0700","No candidate mentioned","Willieintn","","Eastern Time (US & Canada)"
"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn","negative",0.6889,"2015-08-07 09:54:11 -0700","No candidate mentioned","JoshDorner","The District. ","Quito"
"RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…","negative",0.6629,"2015-08-07 09:54:11 -0700","No candidate mentioned","HugeConspiracy","Southwest USA",""
"RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…","negative",1,"2015-08-07 09:54:11 -0700","Donald Trump","DoremusJ","9/10th mile north Nowhere OK",""
"A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8","neutral",1,"2015-08-07 09:54:11 -0700","No candidate mentioned","Daniel_DeMay","Seattle, WA","Alaska"
"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate","positive",0.6591,"2015-08-07 09:54:09 -0700","No candidate mentioned","LarkXOXO","Stevens Point // DeKalb","Mountain Time (US & Canada)"
"RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…","negative",0.6667,"2015-08-07 09:54:09 -0700","No candidate mentioned","RayT2011","Los Angeles",""
"RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR","positive",0.3474,"2015-08-07 09:54:07 -0700","No candidate mentioned","poconofolks","",""
"RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…","positive",1,"2015-08-07 09:54:07 -0700","No candidate mentioned","IdahoGOP","Boise, Idaho","Mountain Time (US & Canada)"
"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…","negative",1,"2015-08-07 09:54:06 -0700","No candidate mentioned","kweidleman","Washington, DC","Eastern Time (US & Canada)"
"RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj","negative",0.6659,"2015-08-07 09:54:06 -0700","Donald Trump","ACasaFreehold","191 Throckmorton St. Freehold",""
"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""","neutral",0.3517,"2015-08-07 09:54:05 -0700","Jeb Bush","ceg1258","TEXAS is the greatest state","Central Time (US & Canada)"
"RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw","negative",1,"2015-08-07 09:54:05 -0700","No candidate mentioned","gleason_danny","Austin, Texas",""
"RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…","negative",0.6734,"2015-08-07 09:54:05 -0700","Marco Rubio","seedywumps","lib utopia, with unicorns","Pacific Time (US & Canada)"
"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…","negative",0.6264,"2015-08-07 09:54:04 -0700","Donald Trump","Liberalibrarian","Las Vegas, Nevada","America/Los_Angeles"
"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr…","neutral",0.6552,"2015-08-07 09:54:04 -0700","No candidate mentioned","TheClementLime","",""
"Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP","positive",1,"2015-08-07 09:54:04 -0700","No candidate mentioned","MikeT1647","","Mountain Time (US & Canada)"
"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …","negative",1,"2015-08-07 09:54:04 -0700","Donald Trump","danijeantheq","",""
"RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…","negative",1,"2015-08-07 09:54:04 -0700","No candidate mentioned","DouglasRobert70","","Mountain Time (US & Canada)"
"I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate","neutral",0.7027,"2015-08-07 09:54:03 -0700","Donald Trump","Kassandra_Troy","Euro Swamp","Amsterdam"
"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT","negative",1,"2015-08-07 09:54:02 -0700","No candidate mentioned","Osunga","Los Angeles","Pacific Time (US & Canada)"
"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C","positive",1,"2015-08-07 09:54:02 -0700","John Kasich","kevinburger72","","Central Time (US & Canada)"
"Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate","positive",0.3297,"2015-08-07 09:54:02 -0700","No candidate mentioned","Sacerdotus","USA","Eastern Time (US & Canada)"
"RT @CarlyFiorina: At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?https://t.co/nzYnC1JRxS
http…","neutral",0.6557,"2015-08-07 09:54:02 -0700","No candidate mentioned","KristenLuciano1","","Central Time (US & Canada)"
"Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate","negative",0.6882,"2015-08-07 09:54:01 -0700","Donald Trump","Clever_Otter","Earth","Mountain Time (US & Canada)"
"RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate","negative",1,"2015-08-07 09:53:59 -0700","No candidate mentioned","grady77","PDX","Eastern Time (US & Canada)"
"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won’t be safe, except if we’re attacked …","negative",1,"2015-08-07 09:53:59 -0700","Donald Trump","lindamama02","",""
"RT @congoboy: This is going to be a long, tiring election season. 
""shockingly ill-informed"" candidates at #GOPDebate
http://t.co/vTK1k0tXi…","negative",1,"2015-08-07 09:53:56 -0700","No candidate mentioned","DEveLRatCity","Seattle ",""
"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate","neutral",0.6545,"2015-08-07 09:53:56 -0700","Marco Rubio","unicornmajik","Arizona","Arizona"
"RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK","neutral",0.6615,"2015-08-07 09:53:56 -0700","John Kasich","kevinburger72","","Central Time (US & Canada)"
"RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate","negative",1,"2015-08-07 09:53:55 -0700","Scott Walker","marcylauren","Delaware","Eastern Time (US & Canada)"
"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh","negative",1,"2015-08-07 09:53:55 -0700","No candidate mentioned","kaewizzzle","","Mountain Time (US & Canada)"
"RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate","negative",1,"2015-08-07 09:53:55 -0700","No candidate mentioned","DavidBloomberg","Springfield, IL","Central Time (US & Canada)"
"RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate","negative",0.6705,"2015-08-07 09:53:55 -0700","Donald Trump","WillisShepherd","Las Vegas NV",""
"RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate","negative",1,"2015-08-07 09:53:55 -0700","No candidate mentioned","annykatzy","Fla/Mich","Central Time (US & Canada)"
"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""","negative",0.6708,"2015-08-07 09:53:54 -0700","Donald Trump","Slim_Shady2o3","USA","Eastern Time (US & Canada)"
