"Text","Sentiment","Sentiment_directed_at"
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC","positive","iPad"
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)","positive","iPad or iPhone App"
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea","positive","Other Google product or service"
"The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird","positive","iPad or iPhone App"
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw","positive","Android App"
"Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now)","positive","iPad or iPhone App"
"You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram","positive","iPad or iPhone App"
"The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365","positive","iPad"
"@mention  - False Alarm: Google Circles Not Coming Nowâ€“and Probably Not Ever? - {link} #Google #Circles #Social #SXSW","negative","Google"
"@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2","positive","Apple"
"#IPad2 's â€˜#SmartCoverâ€™ Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW","positive","iPad or iPhone App"
"Hand-Held â€˜Hoboâ€™: Drafthouse launches â€˜Hobo With a Shotgunâ€™ iPhone app #SXSW {link}","positive",""
"HOORAY RT â€œ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link}","positive","Apple"
"wooooo!!! â€œ@mention Apple store downtown Austin open til Midnight. #sxswâ€ù","positive","Apple"
"â€œ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswâ€ù","positive","Google"
"{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!","positive","iPad"
"#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2","positive","Apple"
"Again? RT @mention Line at the Apple store is insane.. #sxsw","negative",""
"attending @mention iPad design headaches #sxsw {link}","negative","iPad"
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw","negative",""
"Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link}","positive","iPad"
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!","positive","Google"
"Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw","positive","Google"
"I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail","positive","iPhone"
"New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw","positive","iPad or iPhone App"
"Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw","positive","iPad or iPhone App"
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}","positive","Apple"
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi","positive","Google"
"Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh","positive","iPad or iPhone App"
"Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh","neutral",""
"What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!","negative","iPhone"
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.","positive","iPad"
"Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link}","positive","iPhone"
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile","positive","Google"
"Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget","positive","iPad"
"â€œ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow","neutral",""
"Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw","negative",""
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy","positive","Google"
"â€œ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.â€ù","positive","Google"
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw","positive","Apple"
"Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention","positive","Apple"
"Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link}","positive",""
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi","positive","iPad"
"At #SXSW, #Apple schools the marketing experts - {link}","positive","Apple"
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}","positive","Apple"
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.","positive","Apple"
"â€œ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.","positive","Apple"
"#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!","positive","iPad"
"Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me","positive","iPad or iPhone App"
"The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile","positive","iPad"
"I can haz #iPad2 ifrom #SxSW Gr8 {link}","positive","iPad"
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}","positive","iPad"
"Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw","positive",""
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}","positive","iPhone"
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}","positive","Apple"
"Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link}","positive","iPad or iPhone App"
"Temporary #sxsw apple store. Apple being sneaky as usual  {link}","positive","Apple"
"â€œ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.â€ù","positive","iPad or iPhone App"
"Apple won #SxSW from day one. Seeing a TON of #iPad2","positive","iPad"
"â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù @mention Did you manage to get yours?","positive","iPad"
"â€œ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteâ€ù also known as the white jeans configuration.","positive","iPad"
"Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw","positive","iPad"
"#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!","positive","iPad"
"@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel","positive",""
"The Apple #SXSW store still has iPad 2's and short lines.","positive","iPad"
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.","positive","Other Google product or service"
"Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!","positive","iPad"
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.","positive","Google"
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.","negative","iPad or iPhone App"
"Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi","positive","iPad or iPhone App"
"ipad2 and #sxsw...a conflagration of doofusness.  {link}","negative","iPad"
"attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.","positive","Apple"
"I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link}","positive","iPad"
"This is a #WINNING picture #android #google #sxsw {link}","positive","Android"
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}","negative","iPad"
"Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip","positive","iPhone"
"It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw","positive","iPad"
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw","negative","iPad"
"The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link}","positive","iPad"
"many iPad 2's snapping away at the keynote slides! #sxsw","positive","iPad"
"New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi","positive","iPad or iPhone App"
"sweet new 3-d google maps demo going on in ballroom D #SXSW","positive","Other Google product or service"
"More than 35 million miles per day are driving with Google Maps Navigation! #SXSW","positive","Other Google product or service"
"#SXSW day 5 at the #apple store and there's still a line...and growing {link}","positive","Apple"
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available","positive","Android App"
"if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable","positive","iPad or iPhone App"
"Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.","positive","iPhone"
"Not to be a rumor monger, but this was a good read Â_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb","positive","Other Google product or service"
"Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW","positive","iPad or iPhone App"
"build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2","positive","Apple"
"Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?","positive","iPad or iPhone App"
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...","negative","iPhone"
"Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention","positive","iPad"
"I meant I also wish I  at #SXSW #dyac stupid iPhone!","negative","iPhone"
"Just what America needs. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw","neutral",""
"Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link}","positive","Apple"
"picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!","positive","iPad"
"Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW","positive","Google"
"marketing and sales GENIUS: {link} #Apple #SXSW","positive","Apple"
"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)","positive","iPhone"
"The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.","positive","iPad or iPhone App"
"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW","negative","iPad or iPhone App"
"the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore","positive","iPad or iPhone App"
"Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link}","positive","Android App"
"Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2","negative","Apple"
"Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link}","positive","Apple"
"Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet","positive","Apple"
"Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet","positive","iPad"
"Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link}","positive","Apple"
"â€œ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw","positive","Apple"
"â€œ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw","positive","Apple"
"â€œ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.","negative","Apple"
"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]","positive","iPad"
"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech","positive","Apple"
"At #SXSW, Apple schools the marketing experts {link}","positive","Apple"
"At #SXSW, Apple schools the marketing experts {link} via @mention","positive","Apple"
"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.","positive","Apple"
"At #SXSW, Apple schools the marketing experts | CNET - {link}","positive","Apple"
"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail","positive","Apple"
"â€œ@mention Apple store downtown Austin open til Midnight. #sxswâ€ù @mention there's still time :)","positive","Apple"
"&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw","negative","Apple"
"Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple","positive","Apple"
"Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy","positive","iPad"
"Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.","positive","Apple"
"Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw","positive","Apple"
"Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2","positive","Apple"
"iPad news apps 'so last year' at #SXSW {link}","negative","iPad or iPhone App"
"10 iPhone Apps youâ€™ll Probably Need and Use During #SXSW {link}","positive","iPad or iPhone App"
"Now there are 150 million mobile google maps users @mention #sxsw","positive","Other Google product or service"
"And a few are Android too RT @mention 10 New Mobile Apps Iâ€™ll Be Using atÂ #SXSW  {link}","positive","Android App"
"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw","positive","iPad or iPhone App"
"Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple","positive","iPad"
"Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked","negative","iPhone"
"â€œ@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;â€ù","negative","Apple"
"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw","positive","iPad"
"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW","positive","Apple"
"â€œ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWâ€ù","positive","Google"
"knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw","positive","iPad"
"overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour","negative","iPhone"
"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech","positive","Apple"
"First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw","positive",""
"Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad","positive","iPad"
"If ur not at the #google #aclu 80's party....u should be! #sxsw","positive","Google"
"The queue at the Apple Store in Austin is FOUR blocks long. Crazy stuff! #sxsw","neutral",""
"I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw","positive","iPad"
"Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!","positive","iPad or iPhone App"
"Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...","positive","iPad"
"they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android","negative","Android"
".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy #gamestorming #sxsw","negative","Apple"
"Trying to balance the power of power needs on iPhone vs iPad at #sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.","negative","iPad"
"My iPhone battery at 100%. #winning at #SXSW","positive","iPhone"
"My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce","negative","iPhone"
"this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw","positive","Apple"
"This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention","positive","Apple"
"Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw","positive","iPad"
"â€œ@mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;  @mention","negative","iPad"
"Hope it's better than wave RT @mention Buzz is: Google's previewing a social networking platform at #SXSW: {link}","neutral",""
"IPad 2 is better..they have had time to improve #sxsw","positive","iPad"
"{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW","positive","iPad or iPhone App"
"Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW","negative","Google"
"Of course Bing results are good they are Google's:) #SEO #SXSW #qagb","positive","Google"
"impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now","positive","iPad"
"â€œ@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2â€ù :)","positive","iPad"
"Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link}","positive","Apple"
"Nice find by RSQ's @mention {link} #sxsw #iPad #app","positive","iPad or iPhone App"
"&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw","positive",""
"Exciting, canâ€™t wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}","positive","Apple"
"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw","positive","iPad or iPhone App"
"Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw","positive","Google"
"iPad 2 is coming out at #SXSW, guess Apple's pretty desperate to give it attention.","negative","Apple"
"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}","positive","iPad or iPhone App"
"Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw","positive","iPad"
"SYD #SXSW crew your iPhone extra juice pods have been procured.","neutral",""
"Shipments daily - follow @mention #AppleATXdt 4 updates RT @mention Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW","negative",""
"Four more days! #ipad #sxsw #weekend #battlela","positive","iPad"
"IPhone is dead. Find me on the secret batphone #sxsw.","negative","iPhone"
"Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. #google #sxsw #lxh","positive","Other Google product or service"
"Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. #tapworthy #sxsw","positive","iPad"
"Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  #sxsw","positive","iPad"
"Lovin the digital! @mention band sings into iPhone &amp; plays guitar app as fans record vids on iPad2s #CNN Digital #cnngrill #sxsw #sxswi","positive",""
"Why Barry Diller thinks iPad only content is nuts @mention #SXSW {link}","neutral",""
"Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention","negative","iPad"
"We really DO need another big social network right now - thanks! #SXSW #Google {link}","positive","Other Google product or service"
"In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw","negative","Apple"
"Jeez guys dunno about an Apple pop-up over a Gold's Gym. Do u realize how un-Jobs-aesthetic that is? #SXSW #Apple","negative","Apple"
"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple","positive","Apple"
"Before It Even Begins, #Apple Wins #SXSW {link} by @mention","positive","Apple"
"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link}","positive","Apple"
"Before it even begins, Apple wins #SXSW {link}","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link}","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link} on @mention","positive","Apple"
"Before It Even Begins, Apple Wins #SXSW {link} via @mention","positive","Apple"
"Before It Even Begins, Apple WinsÂ #SxSW, {link} -&gt; gonna get sum! via @mention","positive","Apple"
"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw","positive","Apple"
"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?","positive","Apple"
"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW","positive","Apple"
"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC","positive","Apple"
"Before It Even Begins, Apple WinsÂ SXSW {link} #apple #sxsw","positive","Apple"
"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw","positive","Apple"
"Before It Even Begins, Apple WinsÂ SXSW {link} via @mention #apple #sxsw","positive","Apple"
"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW","positive","Apple"
"Badgeless event! Free Drinks! â€œ@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÃ¡o #sxswâ€ù","positive","Google"
"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}","positive","iPhone"
"Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw","positive","iPad"
"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}","positive","iPad"
"Gave into extreme temptation at #SXSW and bought an iPad 2... #impulse","neutral",""
"#SXSW has fantastic schedule app for iphone! Bummer I am still crackberry!","positive","iPad or iPhone App"
"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}","positive","iPad"
"One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link}","positive","Google"
"I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW","positive","Google"
"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.","positive","iPad"
"I need to find a better #SXSW stream to follow. The inane iPad 2 tweets are surely not what SouthBy is about","negative","iPad"
"Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link}","positive",""
"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention","positive","Google"
"Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link}","positive","Other Google product or service"
"#Apple To Follow Its Customers To #SXSW - Forbes - {link} - Alcoholics call this â€˜enabling.â€™ The rest of us call it genius.","positive","Apple"
"Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2","positive","Apple"
"Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home","positive","Android App"
"Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz","positive","iPad or iPhone App"
"Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link}","positive","iPad"
"Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW","positive","iPad"
"Person in front of me just took a picture with his new iPad #sxsw","positive","iPad"
"Marketing Genius: Apple opens pop up store outside of #SXSW {link}","positive","Apple"
"â€œ@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)â€ù #Google #Circles #social","positive","Other Google product or service"
"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw","positive","iPad"
"Austin is getting full, and #SXSW is underway.  I can tell because my iPhone is an intermittent brick. #crowded","negative","iPhone"
"Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-)","positive","Google"
"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}","positive","iPad or iPhone App"
"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW","positive","iPad"
"OMG...I'm going down to #SXSW With: MacBook Pro, iPad, iPhone4, iPod, and a Galaxy Tab... #TechGeek","positive","iPad"
