"Text","Sentiment","SentimentConfidence","Date","Query"
"That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL","negative",0.4673,"Tue Dec 02 00:24:47  2014","#AAPL OR @Apple"
"RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed","neutral",1,"Tue Dec 02 00:25:38  2014","#AAPL OR @Apple"
"Nigga update yall headphones @Apple","negative",0.7453,"Tue Dec 02 00:27:23  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:27:36  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","negative",0.665,"Tue Dec 02 00:28:38  2014","#AAPL OR @Apple"
"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.","negative",1,"Tue Dec 02 00:29:58  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:31:26  2014","#AAPL OR @Apple"
"@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers","negative",0.501,"Tue Dec 02 00:32:42  2014","#AAPL OR @Apple"
"@apple U need to get ur fucking shit together and let me txt while on YouTube","negative",1,"Tue Dec 02 00:34:51  2014","#AAPL OR @Apple"
"@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure","negative",0.6672,"Tue Dec 02 00:38:41  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:39:47  2014","#AAPL OR @Apple"
"@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.","neutral",0.6868,"Tue Dec 02 00:39:51  2014","#AAPL OR @Apple"
"#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb","negative",0.6656,"Tue Dec 02 00:45:03  2014","#AAPL OR @Apple"
"This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn","neutral",0.7408,"Tue Dec 02 00:45:22  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:47:23  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:47:46  2014","#AAPL OR @Apple"
"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ","neutral",0.732,"Tue Dec 02 00:51:10  2014","#AAPL OR @Apple"
"#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd","neutral",0.7177,"Tue Dec 02 00:53:22  2014","#AAPL OR @Apple"
"hey @apple fuck you","negative",1,"Tue Dec 02 00:53:58  2014","#AAPL OR @Apple"
"5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL","neutral",0.6788,"Tue Dec 02 00:54:31  2014","#AAPL OR @Apple"
"@apple why doesn't your people explain precautions when buying an expensive laptop","negative",1,"Tue Dec 02 00:56:11  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",1,"Tue Dec 02 00:56:43  2014","#AAPL OR @Apple"
"@Quailman_ @Apple u was bored huh","neutral",0.6731,"Tue Dec 02 00:59:49  2014","#AAPL OR @Apple"
"RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles","neutral",1,"Tue Dec 02 01:04:41  2014","#AAPL OR @Apple"
"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple","negative",1,"Tue Dec 02 01:05:37  2014","#AAPL OR @Apple"
"@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it","negative",1,"Tue Dec 02 01:06:42  2014","#AAPL OR @Apple"
"INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED","neutral",0.7011,"Tue Dec 02 01:06:58  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.7321,"Tue Dec 02 01:07:53  2014","#AAPL OR @Apple"
"16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems","neutral",1,"Tue Dec 02 01:09:53  2014","#AAPL OR @Apple"
"Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV","positive",0.8214,"Tue Dec 02 01:11:43  2014","#AAPL OR @Apple"
"Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.","negative",1,"Tue Dec 02 01:13:03  2014","#AAPL OR @Apple"
"Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM","negative",0.6398,"Tue Dec 02 01:15:12  2014","#AAPL OR @Apple"
"RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF","neutral",1,"Tue Dec 02 01:17:55  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.6759,"Tue Dec 02 01:22:40  2014","#AAPL OR @Apple"
"Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv","negative",0.5327,"Tue Dec 02 01:25:49  2014","#AAPL OR @Apple"
"3G is draining my battery fix this @apple","negative",1,"Tue Dec 02 01:36:18  2014","#AAPL OR @Apple"
"@apple your chargers suck ass! They just love to break!","negative",1,"Tue Dec 02 01:40:38  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.6783,"Tue Dec 02 01:44:36  2014","#AAPL OR @Apple"
"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX","neutral",1,"Tue Dec 02 01:45:03  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","neutral",0.6604,"Tue Dec 02 01:47:52  2014","#AAPL OR @Apple"
"I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad","negative",0.7556,"Tue Dec 02 01:49:00  2014","#AAPL OR @Apple"
"@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!","negative",0.4791,"Tue Dec 02 01:52:00  2014","#AAPL OR @Apple"
"@aydlettgwyn13 @apple please educate us","neutral",1,"Tue Dec 02 01:52:18  2014","#AAPL OR @Apple"
"RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure","negative",0.7591,"Tue Dec 02 01:53:41  2014","#AAPL OR @Apple"
"The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8","neutral",0.6676,"Tue Dec 02 01:58:06  2014","#AAPL OR @Apple"
"#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx","neutral",1,"Tue Dec 02 02:00:04  2014","#AAPL OR @Apple"
"So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple","negative",1,"Tue Dec 02 02:00:59  2014","#AAPL OR @Apple"
"Thisn#Yosemite update is stressing me out @apple #macbookpro","negative",0.7039,"Tue Dec 02 02:03:46  2014","#AAPL OR @Apple"
"Just broke my 3rd charger of the month. Get your shit together @apple","negative",1,"Tue Dec 02 02:04:40  2014","#AAPL OR @Apple"
"This iPhone 6 battery isn't as good as you claim, @apple","negative",1,"Tue Dec 02 02:09:56  2014","#AAPL OR @Apple"
"#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..","negative",1,"Tue Dec 02 02:10:38  2014","#AAPL OR @Apple"
"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA","neutral",1,"Tue Dec 02 02:14:37  2014","#AAPL OR @Apple"
"RT @chanchan1717: @aydlettgwyn13 @apple please educate us","neutral",0.6908,"Tue Dec 02 02:14:56  2014","#AAPL OR @Apple"
"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good.","positive",0.6517,"Tue Dec 02 02:16:00  2014","#AAPL OR @Apple"
"@apple @iphone4 oh it's not fair and i think you're really mean","negative",1,"Tue Dec 02 02:16:19  2014","#AAPL OR @Apple"
"#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime","neutral",0.6794,"Tue Dec 02 02:25:30  2014","#AAPL OR @Apple"
"RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime","neutral",1,"Tue Dec 02 02:27:54  2014","#AAPL OR @Apple"
"IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday","positive",0.7851,"Tue Dec 02 02:38:28  2014","#AAPL OR @Apple"
"I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple","negative",1,"Tue Dec 02 02:56:02  2014","#AAPL OR @Apple"
"@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?","neutral",0.6218,"Tue Dec 02 02:56:56  2014","#AAPL OR @Apple"
"@apple why was the iphone 4 ever created","negative",0.6884,"Tue Dec 02 02:56:57  2014","#AAPL OR @Apple"
"@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot","negative",1,"Tue Dec 02 03:00:07  2014","#AAPL OR @Apple"
"@apple please can I have new phone for Christmas? #spreadsomejoy","positive",0.6573,"Tue Dec 02 03:00:29  2014","#AAPL OR @Apple"
"Perfome @apple pie.. http://t.co/eHsgVdej9N","neutral",0.7279,"Tue Dec 02 03:01:44  2014","#AAPL OR @Apple"
"#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks","neutral",0.6734,"Tue Dec 02 03:05:07  2014","#AAPL OR @Apple"
".@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI","neutral",0.6442,"Tue Dec 02 03:05:32  2014","#AAPL OR @Apple"
"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL","neutral",0.6635,"Tue Dec 02 03:09:32  2014","#AAPL OR @Apple"
"IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE","negative",1,"Tue Dec 02 03:09:39  2014","#AAPL OR @Apple"
"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF","neutral",0.7287,"Tue Dec 02 03:13:14  2014","#AAPL OR @Apple"
"#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ","neutral",0.7079,"Tue Dec 02 03:15:03  2014","#AAPL OR @Apple"
"My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple","negative",1,"Tue Dec 02 03:28:00  2014","#AAPL OR @Apple"
"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","neutral",1,"Tue Dec 02 03:30:02  2014","#AAPL OR @Apple"
"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","neutral",1,"Tue Dec 02 03:31:46  2014","#AAPL OR @Apple"
"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","neutral",1,"Tue Dec 02 03:42:08  2014","#AAPL OR @Apple"
"My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple","neutral",0.6624,"Tue Dec 02 03:49:22  2014","#AAPL OR @Apple"
"@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck","negative",1,"Tue Dec 02 03:49:34  2014","#AAPL OR @Apple"
"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn","neutral",1,"Tue Dec 02 03:52:46  2014","#AAPL OR @Apple"
"RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple","negative",1,"Tue Dec 02 03:52:58  2014","#AAPL OR @Apple"
"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4","neutral",0.7053,"Tue Dec 02 03:57:07  2014","#AAPL OR @Apple"
"Well played @apple http://t.co/mGbsxyiA69","positive",1,"Tue Dec 02 03:58:50  2014","#AAPL OR @Apple"
"Thank you @Apple","positive",1,"Tue Dec 02 04:00:59  2014","#AAPL OR @Apple"
"Fix it @apple http://t.co/cHoq6LHeHo","negative",0.6894,"Tue Dec 02 04:07:57  2014","#AAPL OR @Apple"
"RT @_iamGambino: Thank you @Apple","positive",1,"Tue Dec 02 04:08:21  2014","#AAPL OR @Apple"
"How long does it really take for a phone to ship @apple smh","negative",1,"Tue Dec 02 04:09:46  2014","#AAPL OR @Apple"
"@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE","neutral",1,"Tue Dec 02 04:11:56  2014","#AAPL OR @Apple"
"RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE","neutral",1,"Tue Dec 02 04:12:53  2014","#AAPL OR @Apple"
"Lol dying @apple http://t.co/EP8hQb2O2H","neutral",1,"Tue Dec 02 04:21:29  2014","#AAPL OR @Apple"
"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.","negative",1,"Tue Dec 02 04:24:00  2014","#AAPL OR @Apple"
"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF","neutral",0.6806,"Tue Dec 02 04:30:03  2014","#AAPL OR @Apple"
"Thanks @apple for changing yet another fuck into duck...Thanks.","negative",0.6864,"Tue Dec 02 04:30:31  2014","#AAPL OR @Apple"
"@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI","negative",0.5339,"Tue Dec 02 04:33:28  2014","#AAPL OR @Apple"
"@brwnskin_beauti cause fuck @apple","negative",1,"Tue Dec 02 04:34:05  2014","#AAPL OR @Apple"
"RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP","neutral",1,"Tue Dec 02 04:35:14  2014","#AAPL OR @Apple"
"if i buy a 16 gb phone i should have 16 GB'S TO USE @apple","negative",1,"Tue Dec 02 04:36:38  2014","#AAPL OR @Apple"
"fuck you for BREAKING MY MUSIC @apple","negative",1,"Tue Dec 02 04:37:44  2014","#AAPL OR @Apple"
"RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP","neutral",1,"Tue Dec 02 04:38:57  2014","#AAPL OR @Apple"
"Have #Apple, Inc.'s #iPad Sales Peaked? #AAPL http://t.co/2Wpaib3z9M","neutral",1,"Tue Dec 02 04:41:05  2014","#AAPL OR @Apple"
"RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP","neutral",1,"Tue Dec 02 04:48:00  2014","#AAPL OR @Apple"
"Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE","neutral",1,"Tue Dec 02 04:53:24  2014","#AAPL OR @Apple"
"just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu","negative",1,"Tue Dec 02 04:54:14  2014","#AAPL OR @Apple"
"RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple","negative",0.681,"Tue Dec 02 05:00:08  2014","#AAPL OR @Apple"
"@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks","negative",1,"Tue Dec 02 05:03:26  2014","#AAPL OR @Apple"
"@Apple I h8 everything about u","negative",1,"Tue Dec 02 05:06:09  2014","#AAPL OR @Apple"
"@apple ur a disgrace","negative",1,"Tue Dec 02 05:06:55  2014","#AAPL OR @Apple"
"@apple I want my pictures back","neutral",0.5098,"Tue Dec 02 05:07:11  2014","#AAPL OR @Apple"
"My phone is on acid right now @apple fix this","negative",1,"Tue Dec 02 05:07:30  2014","#AAPL OR @Apple"
"@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj","negative",1,"Tue Dec 02 05:11:58  2014","#AAPL OR @Apple"
"@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective","negative",1,"Tue Dec 02 05:13:02  2014","#AAPL OR @Apple"
"@Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!","positive",0.718,"Tue Dec 02 05:14:39  2014","#AAPL OR @Apple"
"RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP","neutral",1,"Tue Dec 02 05:16:00  2014","#AAPL OR @Apple"
"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","negative",0.6894,"Tue Dec 02 05:20:58  2014","#AAPL OR @Apple"
"Yo @Apple fix your shitty iMessage","negative",1,"Tue Dec 02 05:25:24  2014","#AAPL OR @Apple"
"#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT","positive",0.6544,"Tue Dec 02 05:35:04  2014","#AAPL OR @Apple"
"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI #AAPL #Alex_Cho","positive",0.6373,"Tue Dec 02 05:37:33  2014","#AAPL OR @Apple"
"I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday","positive",1,"Tue Dec 02 05:40:45  2014","#AAPL OR @Apple"
"Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it","negative",1,"Tue Dec 02 05:42:54  2014","#AAPL OR @Apple"
"First @Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree","neutral",1,"Tue Dec 02 06:00:54  2014","#AAPL OR @Apple"
"Those** PICK UP THE SLACK YOU FUCK BOYS @Apple","negative",1,"Tue Dec 02 06:01:11  2014","#AAPL OR @Apple"
"@surface maybe good product but never better then @apple MacBook Air .... It's a fact","positive",0.6635,"Tue Dec 02 06:09:23  2014","#AAPL OR @Apple"
"fucking faggots @apple","negative",1,"Tue Dec 02 06:52:06  2014","#AAPL OR @Apple"
"@Apple of course that's not their mother fucking @","negative",0.6635,"Tue Dec 02 06:52:43  2014","#AAPL OR @Apple"
"Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 #AAPL","neutral",0.6816,"Tue Dec 02 06:54:50  2014","#AAPL OR @Apple"
"the fuck kinda gay shit you print in the fucking ketosis @apple","negative",1,"Tue Dec 02 06:55:35  2014","#AAPL OR @Apple"
"Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd","negative",1,"Tue Dec 02 06:57:40  2014","#AAPL OR @Apple"
"Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net","neutral",1,"Tue Dec 02 07:12:47  2014","#AAPL OR @Apple"
"RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube","negative",1,"Tue Dec 02 07:15:09  2014","#AAPL OR @Apple"
"@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars","negative",0.7206,"Tue Dec 02 07:16:12  2014","#AAPL OR @Apple"
